doc_id,text
doc_1,The little prince travels through space and visits many planets discovering new worlds
doc_2,On each planet he meets different people with unusual occupations and strange habits
doc_3,He learns about vanity pride and the importance of what truly matters in life
doc_4,The fox teaches him about friendship and the concept of taming someone special
doc_5,He returns to his small planet B612 to take care of his beloved rose
doc_6,The prince encounters a businessman counting stars obsessed with possession and wealth
doc_7,A lamplighter faithfully lights and extinguishes his lamp following rules and duty
doc_8,The rose represents love beauty and the bonds that connect us to others
doc_9,The narrator crashes in the desert and meets the little prince by chance
doc_10,The story explores themes of loneliness loss childhood innocence and human connection
